# Results file for TESS LC simulation Batch_TDA3
#     Column 1: ID
#     Column 2: TESS magnitude
#     Column 3: Cadence (sec)
#     Column 4: Observing duration (days)
#     Column 5: Elicptic latitude (deg)
#     Column 6: Ecliptic longitude (deg)
#     Column 7: Teff (K)
#     Column 8: Teff error (K)
#     Column 9: logg (cgs)
#     Column 10: logg error (cgs)
#     Column 11: Type (may include subtype separated by ;)
#     
Star0, 5.80, 1800, 27.38, 12.24, 72.77, 16634, 100, 4.15, 0.10, SPB
Star1, 7.90, 1800, 54.79, 46.37, 132.79, 8700, 304, 3.90, 0.40, dSct+gDor hybrid
Star2, 8.90, 120, 191.80, 76.49, 189.17, 7591, 200, -999.00, -999.00, Constant
Star3, 6.80, 1800, 27.38, 23.88, 317.51, 5581, 300, -999.00, -999.00, Eclipse
Star4, 4.40, 1800, 54.77, 53.67, 236.79, 2790, 250, -999.00, -999.00, LPV;SR
Star5, 5.80, 1800, 27.38, 23.19, 169.44, 7345, 200, 4.29, 0.10, Solar-like;Spots
Star6, 10.00, 1800, 27.37, 15.69, 265.54, 6039, 200, -999.00, -999.00, RR Lyrae; RRab
Star7, 5.80, 120, 27.40, 20.25, 14.45, 6837, 200, -999.00, -999.00, Constant
Star8, 5.80, 120, 27.40, 44.56, 54.05, 5373, 200, -999.00, -999.00, Transit
Star9, 5.80, 120, 27.40, 8.04, 44.97, 4527, 200, 4.67, 0.10, Solar-like;Transit;multi;Flare;Spots
Star10, 5.10, 1800, 27.38, 55.99, 306.95, 8748, 306, 4.08, 0.40, dSct+gDor hybrid
Star11, 3.90, 120, 27.40, 33.53, 190.29, 4721, 200, 2.84, 0.10, Solar-like
Star12, 5.00, 1800, 27.38, 9.24, 33.95, 7563, 264, 3.97, 0.40, dSct+gDor hybrid
Star13, 1.30, 120, 54.80, 63.53, 237.02, 4429, 200, 2.28, 0.10, Solar-like
Star14, 4.20, 1800, 54.79, 57.07, 36.57, 7845, 274, 4.08, 0.40, dSct+gDor hybrid
Star15, 1.90, 120, 54.80, 52.54, 324.29, 7838, 200, -999.00, -999.00, Transit
Star16, 4.80, 1800, 54.79, 61.00, 319.52, 4738, 200, -999.00, -999.00, Constant
Star17, 2.80, 1800, 27.38, 7.75, 66.21, 4830, 300, -999.00, -999.00, Eclipse
Star18, 6.90, 1800, 27.38, 15.41, 64.19, 5729, 200, -999.00, -999.00, Cepheid; Anomaleous
Star19, 5.20, 120, 109.60, 75.13, 324.29, 6175, 200, 4.28, 0.10, Solar-like;Flare;Spots
Star20, 2.20, 1800, 27.38, 45.16, 83.44, 8083, 282, 3.79, 0.40, bumpy
Star21, 4.10, 1800, 27.38, 19.16, 79.59, 16634, 100, 4.15, 0.10, SPB
Star22, 1.60, 1800, 27.38, 39.74, 110.17, 7824, 200, -999.00, -999.00, Constant
Star23, 6.60, 120, 27.40, 26.62, 272.27, 5763, 200, -999.00, -999.00, Transit
Star24, 4.60, 120, 137.00, 74.27, 166.80, 5799, 200, -999.00, -999.00, Constant
Star25, 6.80, 1800, 27.38, 34.49, 34.71, 13860, 70, 4.26, 0.12, SPB
Star26, 7.40, 1800, 27.40, 26.51, 25.36, 7775, 272, 4.05, 0.40, bumpy
Star27, 1.80, 120, 54.80, 64.11, 81.07, 4711, 200, 2.83, 0.10, Solar-like
Star28, 6.40, 120, 54.80, 52.23, 342.21, 4541, 200, 4.67, 0.10, Solar-like;Transit;Flare;Spots
Star29, 5.50, 1800, 54.77, 60.38, 241.25, 6434, 300, -999.00, -999.00, Eclipse
Star30, 1.40, 120, 27.40, 32.31, 23.96, 5449, 200, -999.00, -999.00, Constant
Star31, 3.30, 1800, 27.38, 30.51, 81.06, 3493, 250, -999.00, -999.00, LPV;MIRA
Star32, 2.30, 1800, 27.38, 21.19, 216.21, 7755, 271, 4.01, 0.40, dSct+gDor hybrid
Star33, 9.40, 1800, 109.58, 74.25, 243.23, 5239, 200, -999.00, -999.00, Cepheid; 1O
Star34, 6.60, 1800, 109.56, 74.59, 135.10, 6783, 245, 3.76, 0.40, bumpy
Star35, 1.60, 120, 356.20, 83.28, 314.72, 4946, 200, 3.28, 0.10, Solar-like
Star36, 7.90, 1800, 54.77, 45.73, 167.37, 4126, 200, -999.00, -999.00, Constant
Star37, 6.70, 120, 27.40, 22.40, 81.07, 5777, 200, -999.00, -999.00, Transit;multi
Star38, 6.90, 1800, 27.40, 39.68, 270.25, 7008, 300, -999.00, -999.00, Eclipse
Star39, 6.50, 1800, 27.38, 26.94, 243.21, 5659, 300, -999.00, -999.00, Eclipse
Star40, 3.20, 120, 27.40, 34.62, 68.23, 7838, 200, -999.00, -999.00, Transit
Star41, 1.20, 1800, 27.38, 26.99, 216.21, 7145, 200, -999.00, -999.00, RR Lyrae; RRd
Star42, 7.60, 1800, 27.38, 31.09, 243.21, 5868, 300, -999.00, -999.00, Eclipse
Star43, 4.90, 1800, 356.19, 81.69, 288.37, 14680, 90, 4.16, 0.13, SPB
Star44, 2.40, 1800, 27.38, 31.68, 176.96, 5990, 200, -999.00, -999.00, RR Lyrae; RRc
Star45, 6.90, 120, 27.40, 20.11, 14.18, 4627, 200, 2.71, 0.10, Solar-like
Star46, 4.90, 1800, 356.19, 85.11, 0.00, 3161, 250, -999.00, -999.00, LPV;SR
Star47, 5.10, 1800, 27.37, 26.89, 267.27, 5290, 200, -999.00, -999.00, Cepheid; 1O2O
Star48, 7.60, 1800, 27.40, 32.84, 283.71, 26242, 100, 3.66, 0.10, bCep
