# Results file for TESS LC simulation shuffled noisy data in Batch1
#     Column 1: ID
#     Column 2: TESS magnitude
#     Column 3: Cadence (sec)
#     Column 4: Observing duration (days)
#     Column 5: Elicptic latitude (deg)
#     Column 6: Ecliptic longitude (deg)
#     Column 7: Teff (K)
#     Column 8: Teff error (K)
#     Column 9: logg (cgs)
#     Column 10: logg error (cgs)
#     Column 11: Type (may include subtype separated by ;)
#     
Star1, 7.60, 1800, 27.40, 23.83, 1.70, 5581, 200, -999.00, -999.00,  Trans/Eclipse
Star2, 7.50, 1800, 27.38, 33.21, 332.88, 6916, 300, -999.00, -999.00,  Trans/Eclipse
Star3, 11.30, 120, 27.40, 39.91, 128.06, 13121, 100, 4.14, 0.10,  SPB
Star4, 8.30, 1800, 27.38, 19.66, 235.53, 7797, 200, -999.00, -999.00,  Trans/Eclipse
Star5, 12.70, 1800, 54.77, 56.89, 243.21, 7305, 239, 4.17, 0.40,  dSct+gDor hybrid
Star6, 16.20, 1800, 27.40, 14.13, 27.02, 4633, 200, 2.98, 0.10,  Solar-like
Star7, 12.90, 20, 27.40, 43.50, 270.25, 8000, 200, 4.18, 0.10,  Trans/Eclipse
Star8, 3.10, 1800, 27.38, 20.60, 54.04, 7717, 200, -999.00, -999.00,  Trans/Eclipse
Star9, 8.00, 1800, 54.79, 48.56, 252.23, 6783, 194, 4.43, 0.10,  dSct+gDor hybrid;Trans/Eclipse
Star10, 12.50, 120, 137.00, 74.03, 216.20, 14680, 90, 4.16, 0.13,  SPB
Star11, 13.50, 1800, 54.79, 57.58, 139.77, 6051, 200, -999.00, -999.00,  RR Lyrae; ab type
Star12, 9.30, 1800, 27.40, 31.88, 270.87, 4800, 200, -999.00, -999.00,  Trans/Eclipse
Star13, 5.80, 1800, 54.79, 62.28, 296.65, 7711, 269, 4.20, 0.10,  dSct;Trans/Eclipse
Star14, 5.20, 1800, 27.38, 47.49, 196.57, 5522, 300, -999.00, -999.00,  Trans/Eclipse
Star15, 8.60, 120, 27.40, 53.53, 189.17, 13690, 70, 4.23, 0.12,  SPB
Star16, 16.40, 1800, 27.37, 22.21, 267.72, 7498, 100, -999.00, -999.00,  dSct
Star17, 9.10, 1800, 27.38, 24.28, 234.30, 33113, 100, 3.93, 0.10,  bCep
Star18, 9.50, 1800, 54.77, 60.69, 209.25, 6101, 200, -999.00, -999.00,  Trans/Eclipse
Star19, 6.00, 1800, 82.17, 65.38, 108.08, 8000, 200, -999.00, -999.00,  Trans/Eclipse
Star20, 11.00, 120, 27.40, 34.68, 270.25, 26730, 100, 3.67, 0.10,  bCep
Star21, 15.10, 1800, 27.38, 39.77, 42.42, 3083, 250, -999.00, -999.00,  LPV;MIRA
Star22, 9.00, 1800, 27.37, 17.12, 267.65, 7838, 200, -999.00, -999.00,  Trans/Eclipse
Star23, 9.70, 120, 27.40, 9.44, 186.25, 27289, 100, 4.08, 0.10,  SPB
Star24, 14.20, 1800, 27.38, 42.06, 330.54, 7120, 200, -999.00, -999.00,  RR Lyrae; c type
Star25, 13.50, 1800, 27.38, 6.79, 216.18, 5980, 200, -999.00, -999.00,  RR Lyrae; ab type
Star26, 11.80, 1800, 27.38, 19.57, 216.21, 7124, 244, 4.13, 0.40,  dSct+gDor hybrid
Star27, 10.20, 1800, 356.19, 78.91, 156.32, 6945, 200, -999.00, -999.00,  RR Lyrae; ab type
Star28, 4.80, 1800, 27.38, 28.59, 319.63, 11990, 60, 4.27, 0.09,  SPB
Star29, 10.00, 120, 54.80, 50.28, 0.00, 13121, 100, 4.14, 0.10,  SPB
Star30, 14.10, 120, 27.40, 57.07, 252.87, 26730, 100, 3.67, 0.10,  bCep
Star31, 14.50, 120, 27.40, 24.96, 0.00, 16634, 100, 4.15, 0.10,  SPB
Star32, 11.80, 1800, 27.40, 11.63, 162.14, 6966, 100, -999.00, -999.00,  dSct
Star33, 9.20, 1800, 27.40, 42.23, 27.02, 3057, 250, -999.00, -999.00,  LPV;MIRA
Star34, 9.40, 1800, 27.38, 40.72, 337.09, 5493, 300, -999.00, -999.00,  Trans/Eclipse
Star35, 13.60, 120, 27.40, 18.57, 105.79, 13860, 70, 4.26, 0.12,  SPB
Star36, 10.70, 120, 27.40, 9.74, 137.40, 16160, 130, 3.91, 0.16,  SPB
Star37, 7.30, 20, 54.80, 47.39, 6.38, 8000, 200, -999.00, -999.00,  Trans/Eclipse
Star38, 8.00, 1800, 27.38, 46.27, 218.06, 4747, 200, 3.09, 0.10,  Solar-like
Star39, 13.40, 1800, 27.38, 6.89, 108.10, 5482, 200, 3.67, 0.10,  Solar-like
Star40, 9.30, 1800, 27.38, 26.19, 351.31, 7498, 100, -999.00, -999.00,  dSct
Star41, 5.90, 1800, 27.40, 12.07, 5.59, 6439, 200, 4.35, 0.10,  Solar-like
Star42, 5.40, 1800, 27.38, 29.90, 108.10, 5662, 300, -999.00, -999.00,  Trans/Eclipse
